order_number,notification_number,equipment_number,functional_location,order_type,status,priority,maintenance_activity_type,short_text,long_text,created_at_source,required_by_at,started_at,finished_at,total_cost,downtime_hours
WO-2023829,N-910829,M-102,PLANT-A/AREA-2/MOTOR-1,CMON,closed,low,condition_monitoring,Bearing failure on Motor asset 02,Bearing failure identified on M-102 during operation. Corrective work completed and asset returned to service.,2025-10-01T06:00:00+00:00,2025-10-05T06:00:00+00:00,2025-10-01T08:00:00+00:00,2025-10-01T14:30:00+00:00,3380.00,0.00
WO-2023830,N-910830,C-119,PLANT-A/AREA-4/COMPRESSOR-4,CM,closed,medium,corrective,High discharge temperature on Compressor asset 19,High discharge temperature identified on C-119 during operation. Corrective work completed and asset returned to service.,2025-10-02T18:00:00+00:00,2025-10-07T18:00:00+00:00,2025-10-02T21:00:00+00:00,2025-10-03T07:00:00+00:00,4045.00,10.00
WO-2023831,,P-136,PLANT-A/AREA-1/PUMP-8,PM,closed,low,preventive,Complete scheduled PM on Pump asset 36,Preventive maintenance completed on P-136 with no immediate defect recorded.,2025-10-04T06:00:00+00:00,2025-10-05T06:00:00+00:00,2025-10-04T10:00:00+00:00,2025-10-04T10:30:00+00:00,230.00,0.00
WO-2023832,N-910832,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CM,closed,high,corrective,Belt mistracking on Conveyor asset 03,Belt mistracking identified on CV-103 during operation. Corrective work completed and asset returned to service.,2025-10-05T18:00:00+00:00,2025-10-07T18:00:00+00:00,2025-10-05T23:00:00+00:00,2025-10-06T05:00:00+00:00,4275.00,6.00
WO-2023833,N-910833,F-120,PLANT-A/AREA-5/FAN-4,CM,closed,high,corrective,Imbalance on Fan asset 20,Imbalance identified on F-120 during operation. Corrective work completed and asset returned to service.,2025-10-07T06:00:00+00:00,2025-10-10T06:00:00+00:00,2025-10-07T12:00:00+00:00,2025-10-07T21:30:00+00:00,4390.00,9.50
WO-2023834,,M-137,PLANT-A/AREA-2/MOTOR-8,PM,closed,high,preventive,Complete scheduled PM on Motor asset 37,Preventive maintenance completed on M-137 with no immediate defect recorded.,2025-10-03T19:00:00+00:00,2025-10-07T19:00:00+00:00,2025-10-04T02:00:00+00:00,2025-10-04T02:30:00+00:00,305.00,0.00
WO-2023835,N-910835,V-104,PLANT-A/AREA-4/VALVE-1,CM,closed,medium,corrective,Stem leakage on Valve asset 04,Stem leakage identified on V-104 during operation. Corrective work completed and asset returned to service.,2025-10-05T07:00:00+00:00,2025-10-10T07:00:00+00:00,2025-10-05T15:00:00+00:00,2025-10-05T20:30:00+00:00,4620.00,5.50
WO-2023836,,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,INSP,closed,medium,inspection,Inspect condition of Heat exchanger asset 21,Inspection completed on HX-121; observations recorded for reliability trending.,2025-10-06T19:00:00+00:00,2025-10-07T19:00:00+00:00,2025-10-07T04:00:00+00:00,2025-10-07T04:30:00+00:00,160.00,0.00
WO-2023837,N-910837,V-139,PLANT-A/AREA-4/VALVE-8,EM,closed,high,emergency,Actuator failure on Valve asset 39,Actuator failure identified on V-139 during operation. Corrective work completed and asset returned to service.,2025-10-08T07:00:00+00:00,2025-10-10T07:00:00+00:00,2025-10-08T17:00:00+00:00,2025-10-08T18:30:00+00:00,6650.00,1.50
WO-2023838,,F-106,PLANT-A/AREA-1/FAN-2,PM,closed,medium,preventive,Complete scheduled PM on Fan asset 06,Preventive maintenance completed on F-106 with no immediate defect recorded.,2025-10-09T19:00:00+00:00,2025-10-12T19:00:00+00:00,2025-10-09T21:00:00+00:00,2025-10-09T21:30:00+00:00,180.00,0.00
WO-2023839,N-910839,M-123,PLANT-A/AREA-3/MOTOR-5,CM,closed,low,corrective,Overheating on Motor asset 23,Overheating identified on M-123 during operation. Corrective work completed and asset returned to service.,2025-10-11T07:00:00+00:00,2025-10-15T07:00:00+00:00,2025-10-11T10:00:00+00:00,2025-10-11T18:30:00+00:00,1515.00,8.50
WO-2023840,N-910840,C-140,PLANT-A/AREA-5/COMPRESSOR-8,CMON,closed,medium,condition_monitoring,Oil carryover on Compressor asset 40,Oil carryover identified on C-140 during operation. Corrective work completed and asset returned to service.,2025-10-12T19:00:00+00:00,2025-10-17T19:00:00+00:00,2025-10-12T23:00:00+00:00,2025-10-13T11:00:00+00:00,1080.00,0.00
WO-2023841,N-910841,HX-107,PLANT-A/AREA-2/HEAT-EXCHANGER-2,CM,closed,medium,corrective,Tube fouling on Heat exchanger asset 07,Tube fouling identified on HX-107 during operation. Corrective work completed and asset returned to service.,2025-10-14T07:00:00+00:00,2025-10-15T07:00:00+00:00,2025-10-14T12:00:00+00:00,2025-10-14T16:30:00+00:00,1745.00,4.50
WO-2023842,,CV-124,PLANT-A/AREA-4/CONVEYOR-5,PM,closed,medium,preventive,Complete scheduled PM on Conveyor asset 24,Preventive maintenance completed on CV-124 with no immediate defect recorded.,2025-10-15T19:00:00+00:00,2025-10-17T19:00:00+00:00,2025-10-16T01:00:00+00:00,2025-10-16T01:30:00+00:00,280.00,0.00
WO-2023843,N-910843,F-141,PLANT-A/AREA-1/FAN-9,CM,closed,high,corrective,Bearing failure on Fan asset 41,Bearing failure identified on F-141 during operation. Corrective work completed and asset returned to service.,2025-10-17T07:00:00+00:00,2025-10-20T07:00:00+00:00,2025-10-17T14:00:00+00:00,2025-10-18T01:30:00+00:00,1975.00,11.50
WO-2023844,,P-108,PLANT-A/AREA-3/PUMP-2,INSP,closed,low,inspection,Inspect condition of Pump asset 08,Inspection completed on P-108; observations recorded for reliability trending.,2025-10-18T19:00:00+00:00,2025-10-22T19:00:00+00:00,2025-10-19T03:00:00+00:00,2025-10-19T03:30:00+00:00,180.00,0.00
WO-2023845,N-910845,V-125,PLANT-A/AREA-5/VALVE-5,EM,closed,medium,emergency,Passing valve on Valve asset 25,Passing valve identified on V-125 during operation. Corrective work completed and asset returned to service.,2025-10-20T07:00:00+00:00,2025-10-25T07:00:00+00:00,2025-10-20T16:00:00+00:00,2025-10-20T23:30:00+00:00,4005.00,7.50
WO-2023846,N-910846,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,CM,closed,medium,corrective,Low heat transfer on Heat exchanger asset 42,Low heat transfer identified on HX-142 during operation. Corrective work completed and asset returned to service.,2025-10-21T19:00:00+00:00,2025-10-22T19:00:00+00:00,2025-10-22T05:00:00+00:00,2025-10-22T16:00:00+00:00,2320.00,11.00
WO-2023847,,M-109,PLANT-A/AREA-4/MOTOR-2,INSP,closed,high,inspection,Inspect condition of Motor asset 09,Inspection completed on M-109; observations recorded for reliability trending.,2025-10-23T07:00:00+00:00,2025-10-25T07:00:00+00:00,2025-10-23T09:00:00+00:00,2025-10-23T09:30:00+00:00,240.00,0.00
WO-2023848,N-910848,F-127,PLANT-A/AREA-2/FAN-6,EM,closed,high,emergency,Imbalance on Fan asset 27,Imbalance identified on F-127 during operation. Corrective work completed and asset returned to service.,2025-10-24T19:00:00+00:00,2025-10-27T19:00:00+00:00,2025-10-24T22:00:00+00:00,2025-10-25T05:00:00+00:00,4350.00,7.00
WO-2023849,,M-144,PLANT-A/AREA-4/MOTOR-9,PM,closed,high,preventive,Complete scheduled PM on Motor asset 44,Preventive maintenance completed on M-144 with no immediate defect recorded.,2025-10-26T07:00:00+00:00,2025-10-30T07:00:00+00:00,2025-10-26T11:00:00+00:00,2025-10-26T11:30:00+00:00,230.00,0.00
WO-2023850,N-910850,V-111,PLANT-A/AREA-1/VALVE-3,CM,closed,medium,corrective,Stem leakage on Valve asset 11,Stem leakage identified on V-111 during operation. Corrective work completed and asset returned to service.,2025-10-27T19:00:00+00:00,2025-11-01T19:00:00+00:00,2025-10-28T00:00:00+00:00,2025-10-28T03:00:00+00:00,2780.00,3.00
WO-2023851,N-910851,HX-128,PLANT-A/AREA-3/HEAT-EXCHANGER-6,CMON,closed,medium,condition_monitoring,Tube leak on Heat exchanger asset 28,Tube leak identified on HX-128 during operation. Corrective work completed and asset returned to service.,2025-10-24T08:00:00+00:00,2025-10-25T08:00:00+00:00,2025-10-24T14:00:00+00:00,2025-10-24T20:30:00+00:00,2345.00,0.00
WO-2023852,N-910852,CV-145,PLANT-A/AREA-5/CONVEYOR-9,CM,closed,high,corrective,Belt damage on Conveyor asset 45,Belt damage identified on CV-145 during operation. Corrective work completed and asset returned to service.,2025-10-25T20:00:00+00:00,2025-10-27T20:00:00+00:00,2025-10-26T03:00:00+00:00,2025-10-26T13:00:00+00:00,3010.00,10.00
WO-2023853,,C-112,PLANT-A/AREA-2/COMPRESSOR-3,PM,closed,medium,preventive,Complete scheduled PM on Compressor asset 12,Preventive maintenance completed on C-112 with no immediate defect recorded.,2025-10-27T08:00:00+00:00,2025-10-30T08:00:00+00:00,2025-10-27T16:00:00+00:00,2025-10-27T16:30:00+00:00,330.00,0.00
WO-2023854,N-910854,P-129,PLANT-A/AREA-4/PUMP-6,CM,closed,low,corrective,Bearing failure on Pump asset 29,Bearing failure identified on P-129 during operation. Corrective work completed and asset returned to service.,2025-10-28T20:00:00+00:00,2025-11-01T20:00:00+00:00,2025-10-29T05:00:00+00:00,2025-10-29T11:00:00+00:00,3240.00,6.00
WO-2023855,,V-146,PLANT-A/AREA-1/VALVE-10,INSP,closed,medium,inspection,Inspect condition of Valve asset 46,Inspection completed on V-146; observations recorded for reliability trending.,2025-10-30T08:00:00+00:00,2025-11-04T08:00:00+00:00,2025-10-30T18:00:00+00:00,2025-10-30T18:30:00+00:00,120.00,0.00
WO-2023856,N-910856,F-113,PLANT-A/AREA-3/FAN-3,EM,closed,medium,emergency,Belt slippage on Fan asset 13,Belt slippage identified on F-113 during operation. Corrective work completed and asset returned to service.,2025-10-31T20:00:00+00:00,2025-11-01T20:00:00+00:00,2025-10-31T22:00:00+00:00,2025-11-01T00:00:00+00:00,5270.00,2.00
WO-2023857,,M-130,PLANT-A/AREA-5/MOTOR-6,PM,closed,medium,preventive,Complete scheduled PM on Motor asset 30,Preventive maintenance completed on M-130 with no immediate defect recorded.,2025-11-02T08:00:00+00:00,2025-11-04T08:00:00+00:00,2025-11-02T11:00:00+00:00,2025-11-02T11:30:00+00:00,205.00,0.00
WO-2023858,N-910858,C-147,PLANT-A/AREA-2/COMPRESSOR-10,CM,closed,high,corrective,Oil carryover on Compressor asset 47,Oil carryover identified on C-147 during operation. Corrective work completed and asset returned to service.,2025-11-03T20:00:00+00:00,2025-11-06T20:00:00+00:00,2025-11-04T00:00:00+00:00,2025-11-04T09:00:00+00:00,3700.00,9.00
WO-2023859,N-910859,P-115,PLANT-A/AREA-5/PUMP-3,EM,closed,low,emergency,Cavitation on Pump asset 15,Cavitation identified on P-115 during operation. Corrective work completed and asset returned to service.,2025-11-05T08:00:00+00:00,2025-11-09T08:00:00+00:00,2025-11-05T13:00:00+00:00,2025-11-05T14:30:00+00:00,5615.00,1.50
WO-2023860,,V-132,PLANT-A/AREA-2/VALVE-7,PM,closed,high,preventive,Complete scheduled PM on Valve asset 32,Preventive maintenance completed on V-132 with no immediate defect recorded.,2025-11-06T20:00:00+00:00,2025-11-11T20:00:00+00:00,2025-11-07T02:00:00+00:00,2025-11-07T02:30:00+00:00,280.00,0.00
WO-2023861,N-910861,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,CM,closed,medium,corrective,Low heat transfer on Heat exchanger asset 49,Low heat transfer identified on HX-149 during operation. Corrective work completed and asset returned to service.,2025-11-08T08:00:00+00:00,2025-11-09T08:00:00+00:00,2025-11-08T15:00:00+00:00,2025-11-08T23:30:00+00:00,4045.00,8.50
WO-2023862,N-910862,M-116,PLANT-A/AREA-1/MOTOR-4,CMON,closed,high,condition_monitoring,Bearing failure on Motor asset 16,Bearing failure identified on M-116 during operation. Corrective work completed and asset returned to service.,2025-11-09T20:00:00+00:00,2025-11-11T20:00:00+00:00,2025-11-10T04:00:00+00:00,2025-11-10T16:00:00+00:00,3610.00,0.00
WO-2023863,N-910863,C-133,PLANT-A/AREA-3/COMPRESSOR-7,CM,closed,high,corrective,High discharge temperature on Compressor asset 33,High discharge temperature identified on C-133 during operation. Corrective work completed and asset returned to service.,2025-11-11T08:00:00+00:00,2025-11-14T08:00:00+00:00,2025-11-11T17:00:00+00:00,2025-11-11T21:30:00+00:00,4275.00,4.50
WO-2023864,,P-150,PLANT-A/AREA-5/PUMP-10,PM,closed,high,preventive,Complete scheduled PM on Pump asset 50,Preventive maintenance completed on P-150 with no immediate defect recorded.,2025-11-12T20:00:00+00:00,2025-11-16T20:00:00+00:00,2025-11-13T06:00:00+00:00,2025-11-13T06:30:00+00:00,380.00,0.00
WO-2023865,N-910865,CV-117,PLANT-A/AREA-2/CONVEYOR-4,CM,closed,medium,corrective,Belt mistracking on Conveyor asset 17,Belt mistracking identified on CV-117 during operation. Corrective work completed and asset returned to service.,2025-11-14T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-11-14T10:00:00+00:00,2025-11-14T21:30:00+00:00,4505.00,11.50
WO-2023866,,F-134,PLANT-A/AREA-4/FAN-7,INSP,closed,medium,inspection,Inspect condition of Fan asset 34,Inspection completed on F-134; observations recorded for reliability trending.,2025-11-15T20:00:00+00:00,2025-11-16T20:00:00+00:00,2025-11-15T23:00:00+00:00,2025-11-15T23:30:00+00:00,200.00,0.00
WO-2023867,N-910867,P-101,PLANT-A/AREA-1/PUMP-1,EM,closed,high,emergency,Seal leakage on Pump asset 01,Seal leakage identified on P-101 during operation. Corrective work completed and asset returned to service.,2025-11-17T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-11-17T12:00:00+00:00,2025-11-17T19:30:00+00:00,6535.00,7.50
WO-2023868,,V-118,PLANT-A/AREA-3/VALVE-4,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 18,Preventive maintenance completed on V-118 with no immediate defect recorded.,2025-11-13T21:00:00+00:00,2025-11-16T21:00:00+00:00,2025-11-14T02:00:00+00:00,2025-11-14T02:30:00+00:00,255.00,0.00
WO-2023869,N-910869,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,CM,closed,low,corrective,Tube leak on Heat exchanger asset 35,Tube leak identified on HX-135 during operation. Corrective work completed and asset returned to service.,2025-11-15T09:00:00+00:00,2025-11-19T09:00:00+00:00,2025-11-15T15:00:00+00:00,2025-11-15T18:30:00+00:00,1400.00,3.50
WO-2023870,N-910870,CV-103,PLANT-A/AREA-3/CONVEYOR-1,CMON,closed,medium,condition_monitoring,Belt damage on Conveyor asset 03,Belt damage identified on CV-103 during operation. Corrective work completed and asset returned to service.,2025-11-16T21:00:00+00:00,2025-11-21T21:00:00+00:00,2025-11-17T04:00:00+00:00,2025-11-17T11:00:00+00:00,965.00,0.00
WO-2023871,N-910871,F-120,PLANT-A/AREA-5/FAN-4,CM,closed,medium,corrective,Belt slippage on Fan asset 20,Belt slippage identified on F-120 during operation. Corrective work completed and asset returned to service.,2025-11-18T09:00:00+00:00,2025-11-19T09:00:00+00:00,2025-11-18T17:00:00+00:00,2025-11-19T03:30:00+00:00,1630.00,10.50
WO-2023872,N-910872,M-137,PLANT-A/AREA-2/MOTOR-8,CM,closed,high,corrective,Overheating on Motor asset 37,Overheating identified on M-137 during operation. Corrective work completed and asset returned to service.,2025-11-19T21:00:00+00:00,2025-11-21T21:00:00+00:00,2025-11-20T06:00:00+00:00,2025-11-20T09:00:00+00:00,1745.00,3.00
WO-2023873,N-910873,V-104,PLANT-A/AREA-4/VALVE-1,CMON,closed,high,condition_monitoring,Actuator failure on Valve asset 04,Actuator failure identified on V-104 during operation. Corrective work completed and asset returned to service.,2025-11-21T09:00:00+00:00,2025-11-24T09:00:00+00:00,2025-11-21T19:00:00+00:00,2025-11-22T01:30:00+00:00,1310.00,0.00
WO-2023874,N-910874,HX-121,PLANT-A/AREA-1/HEAT-EXCHANGER-5,CM,closed,low,corrective,Tube fouling on Heat exchanger asset 21,Tube fouling identified on HX-121 during operation. Corrective work completed and asset returned to service.,2025-11-22T21:00:00+00:00,2025-11-26T21:00:00+00:00,2025-11-22T23:00:00+00:00,2025-11-23T09:00:00+00:00,1975.00,10.00
WO-2023875,,CV-138,PLANT-A/AREA-3/CONVEYOR-8,PM,closed,high,preventive,Complete scheduled PM on Conveyor asset 38,Preventive maintenance completed on CV-138 with no immediate defect recorded.,2025-11-24T09:00:00+00:00,2025-11-29T09:00:00+00:00,2025-11-24T12:00:00+00:00,2025-11-24T12:30:00+00:00,205.00,0.00
WO-2023876,N-910876,C-105,PLANT-A/AREA-5/COMPRESSOR-1,CM,closed,medium,corrective,Oil carryover on Compressor asset 05,Oil carryover identified on C-105 during operation. Corrective work completed and asset returned to service.,2025-11-25T21:00:00+00:00,2025-11-26T21:00:00+00:00,2025-11-26T01:00:00+00:00,2025-11-26T07:00:00+00:00,2205.00,6.00
WO-2023877,,P-122,PLANT-A/AREA-2/PUMP-5,INSP,closed,high,inspection,Inspect condition of Pump asset 22,Inspection completed on P-122; observations recorded for reliability trending.,2025-11-27T09:00:00+00:00,2025-11-29T09:00:00+00:00,2025-11-27T14:00:00+00:00,2025-11-27T14:30:00+00:00,140.00,0.00
WO-2023878,N-910878,V-139,PLANT-A/AREA-4/VALVE-8,EM,closed,high,emergency,Passing valve on Valve asset 39,Passing valve identified on V-139 during operation. Corrective work completed and asset returned to service.,2025-11-28T21:00:00+00:00,2025-12-01T21:00:00+00:00,2025-11-29T03:00:00+00:00,2025-11-29T05:00:00+00:00,4235.00,2.00
WO-2023879,,F-106,PLANT-A/AREA-1/FAN-2,PM,closed,high,preventive,Complete scheduled PM on Fan asset 06,Preventive maintenance completed on F-106 with no immediate defect recorded.,2025-11-30T09:00:00+00:00,2025-12-04T09:00:00+00:00,2025-11-30T16:00:00+00:00,2025-11-30T16:30:00+00:00,305.00,0.00
WO-2023880,N-910880,M-123,PLANT-A/AREA-3/MOTOR-5,CM,closed,medium,corrective,Bearing failure on Motor asset 23,Bearing failure identified on M-123 during operation. Corrective work completed and asset returned to service.,2025-12-01T21:00:00+00:00,2025-12-06T21:00:00+00:00,2025-12-02T05:00:00+00:00,2025-12-02T14:00:00+00:00,2665.00,9.00
WO-2023881,N-910881,F-141,PLANT-A/AREA-1/FAN-9,CMON,closed,medium,condition_monitoring,Imbalance on Fan asset 41,Imbalance identified on F-141 during operation. Corrective work completed and asset returned to service.,2025-12-03T09:00:00+00:00,2025-12-04T09:00:00+00:00,2025-12-03T18:00:00+00:00,2025-12-03T19:30:00+00:00,2230.00,0.00
WO-2023882,N-910882,P-108,PLANT-A/AREA-3/PUMP-2,CM,closed,high,corrective,Seal leakage on Pump asset 08,Seal leakage identified on P-108 during operation. Corrective work completed and asset returned to service.,2025-12-04T21:00:00+00:00,2025-12-06T21:00:00+00:00,2025-12-05T07:00:00+00:00,2025-12-05T12:00:00+00:00,2895.00,5.00
WO-2023883,,V-125,PLANT-A/AREA-5/VALVE-5,PM,closed,medium,preventive,Complete scheduled PM on Valve asset 25,Preventive maintenance completed on V-125 with no immediate defect recorded.,2025-12-06T09:00:00+00:00,2025-12-09T09:00:00+00:00,2025-12-06T11:00:00+00:00,2025-12-06T11:30:00+00:00,180.00,0.00
WO-2023884,N-910884,HX-142,PLANT-A/AREA-2/HEAT-EXCHANGER-9,CM,closed,low,corrective,Tube leak on Heat exchanger asset 42,Tube leak identified on HX-142 during operation. Corrective work completed and asset returned to service.,2025-12-07T21:00:00+00:00,2025-12-11T21:00:00+00:00,2025-12-08T00:00:00+00:00,2025-12-08T12:00:00+00:00,3125.00,12.00
WO-2023885,N-910885,M-109,PLANT-A/AREA-4/MOTOR-2,CM,closed,medium,corrective,Insulation breakdown on Motor asset 09,Insulation breakdown identified on M-109 during operation. Corrective work completed and asset returned to service.,2025-12-04T10:00:00+00:00,2025-12-09T10:00:00+00:00,2025-12-04T14:00:00+00:00,2025-12-04T18:30:00+00:00,3240.00,4.50
WO-2023886,,C-126,PLANT-A/AREA-1/COMPRESSOR-6,PM,closed,low,preventive,Complete scheduled PM on Compressor asset 26,Preventive maintenance completed on C-126 with no immediate defect recorded.,2025-12-05T22:00:00+00:00,2025-12-06T22:00:00+00:00,2025-12-06T03:00:00+00:00,2025-12-06T03:30:00+00:00,255.00,0.00
WO-2023887,N-910887,P-143,PLANT-A/AREA-3/PUMP-9,CM,closed,high,corrective,Bearing failure on Pump asset 43,Bearing failure identified on P-143 during operation. Corrective work completed and asset returned to service.,2025-12-07T10:00:00+00:00,2025-12-09T10:00:00+00:00,2025-12-07T16:00:00+00:00,2025-12-08T03:30:00+00:00,3470.00,11.50
WO-2023888,,CV-110,PLANT-A/AREA-5/CONVEYOR-2,INSP,closed,high,inspection,Inspect condition of Conveyor asset 10,Inspection completed on CV-110; observations recorded for reliability trending.,2025-12-08T22:00:00+00:00,2025-12-11T22:00:00+00:00,2025-12-09T05:00:00+00:00,2025-12-09T05:30:00+00:00,220.00,0.00
WO-2023889,N-910889,F-127,PLANT-A/AREA-2/FAN-6,EM,closed,low,emergency,Belt slippage on Fan asset 27,Belt slippage identified on F-127 during operation. Corrective work completed and asset returned to service.,2025-12-10T10:00:00+00:00,2025-12-14T10:00:00+00:00,2025-12-10T18:00:00+00:00,2025-12-11T01:30:00+00:00,5500.00,7.50
WO-2023890,,M-144,PLANT-A/AREA-4/MOTOR-9,PM,closed,high,preventive,Complete scheduled PM on Motor asset 44,Preventive maintenance completed on M-144 with no immediate defect recorded.,2025-12-11T22:00:00+00:00,2025-12-16T22:00:00+00:00,2025-12-12T07:00:00+00:00,2025-12-12T07:30:00+00:00,355.00,0.00
WO-2023891,N-910891,V-111,PLANT-A/AREA-1/VALVE-3,CM,closed,medium,corrective,Actuator failure on Valve asset 11,Actuator failure identified on V-111 during operation. Corrective work completed and asset returned to service.,2025-12-13T10:00:00+00:00,2025-12-14T10:00:00+00:00,2025-12-13T20:00:00+00:00,2025-12-13T23:30:00+00:00,3930.00,3.50
WO-2023892,N-910892,P-129,PLANT-A/AREA-4/PUMP-6,CMON,closed,high,condition_monitoring,Cavitation on Pump asset 29,Cavitation identified on P-129 during operation. Corrective work completed and asset returned to service.,2025-12-14T22:00:00+00:00,2025-12-16T22:00:00+00:00,2025-12-15T00:00:00+00:00,2025-12-15T07:00:00+00:00,3495.00,0.00
WO-2023893,N-910893,V-146,PLANT-A/AREA-1/VALVE-10,CM,closed,high,corrective,Passing valve on Valve asset 46,Passing valve identified on V-146 during operation. Corrective work completed and asset returned to service.,2025-12-16T10:00:00+00:00,2025-12-19T10:00:00+00:00,2025-12-16T13:00:00+00:00,2025-12-16T23:30:00+00:00,4160.00,10.50
WO-2023894,,F-113,PLANT-A/AREA-3/FAN-3,PM,closed,high,preventive,Complete scheduled PM on Fan asset 13,Preventive maintenance completed on F-113 with no immediate defect recorded.,2025-12-17T22:00:00+00:00,2025-12-21T22:00:00+00:00,2025-12-18T02:00:00+00:00,2025-12-18T02:30:00+00:00,230.00,0.00
WO-2023895,N-910895,M-130,PLANT-A/AREA-5/MOTOR-6,CM,closed,medium,corrective,Bearing failure on Motor asset 30,Bearing failure identified on M-130 during operation. Corrective work completed and asset returned to service.,2025-12-19T10:00:00+00:00,2025-12-24T10:00:00+00:00,2025-12-19T15:00:00+00:00,2025-12-19T21:30:00+00:00,4390.00,6.50
WO-2023896,,C-147,PLANT-A/AREA-2/COMPRESSOR-10,INSP,closed,medium,inspection,Inspect condition of Compressor asset 47,Inspection completed on C-147; observations recorded for reliability trending.,2025-12-20T22:00:00+00:00,2025-12-21T22:00:00+00:00,2025-12-21T04:00:00+00:00,2025-12-21T04:30:00+00:00,240.00,0.00
WO-2023897,N-910897,HX-114,PLANT-A/AREA-4/HEAT-EXCHANGER-3,EM,closed,high,emergency,Low heat transfer on Heat exchanger asset 14,Low heat transfer identified on HX-114 during operation. Corrective work completed and asset returned to service.,2025-12-22T10:00:00+00:00,2025-12-24T10:00:00+00:00,2025-12-22T17:00:00+00:00,2025-12-22T19:30:00+00:00,6420.00,2.50
WO-2023898,N-910898,CV-131,PLANT-A/AREA-1/CONVEYOR-7,CM,closed,high,corrective,Belt mistracking on Conveyor asset 31,Belt mistracking identified on CV-131 during operation. Corrective work completed and asset returned to service.,2025-12-23T22:00:00+00:00,2025-12-26T22:00:00+00:00,2025-12-24T06:00:00+00:00,2025-12-24T12:00:00+00:00,4735.00,6.00
WO-2023899,,F-148,PLANT-A/AREA-3/FAN-10,INSP,closed,low,inspection,Inspect condition of Fan asset 48,Inspection completed on F-148; observations recorded for reliability trending.,2025-12-25T10:00:00+00:00,2025-12-29T10:00:00+00:00,2025-12-25T19:00:00+00:00,2025-12-25T19:30:00+00:00,160.00,0.00
WO-2023900,N-910900,P-115,PLANT-A/AREA-5/PUMP-3,EM,closed,medium,emergency,Seal leakage on Pump asset 15,Seal leakage identified on P-115 during operation. Corrective work completed and asset returned to service.,2025-12-26T22:00:00+00:00,2025-12-31T22:00:00+00:00,2025-12-27T08:00:00+00:00,2025-12-27T10:00:00+00:00,3200.00,2.00
WO-2023901,,V-132,PLANT-A/AREA-2/VALVE-7,PM,closed,low,preventive,Complete scheduled PM on Valve asset 32,Preventive maintenance completed on V-132 with no immediate defect recorded.,2025-12-28T10:00:00+00:00,2025-12-29T10:00:00+00:00,2025-12-28T12:00:00+00:00,2025-12-28T12:30:00+00:00,180.00,0.00
WO-2023902,N-910902,HX-149,PLANT-A/AREA-4/HEAT-EXCHANGER-10,CM,closed,high,corrective,Tube leak on Heat exchanger asset 49,Tube leak identified on HX-149 during operation. Corrective work completed and asset returned to service.,2025-12-24T23:00:00+00:00,2025-12-26T23:00:00+00:00,2025-12-25T02:00:00+00:00,2025-12-25T11:00:00+00:00,1630.00,9.00
WO-2023903,N-910903,CV-117,PLANT-A/AREA-2/CONVEYOR-4,CMON,closed,high,condition_monitoring,Belt damage on Conveyor asset 17,Belt damage identified on CV-117 during operation. Corrective work completed and asset returned to service.,2025-12-26T11:00:00+00:00,2025-12-29T11:00:00+00:00,2025-12-26T15:00:00+00:00,2025-12-26T16:30:00+00:00,1195.00,0.00
WO-2023904,N-910904,F-134,PLANT-A/AREA-4/FAN-7,CM,closed,low,corrective,Belt slippage on Fan asset 34,Belt slippage identified on F-134 during operation. Corrective work completed and asset returned to service.,2025-12-27T23:00:00+00:00,2025-12-31T23:00:00+00:00,2025-12-28T04:00:00+00:00,2025-12-28T09:00:00+00:00,1860.00,5.00
WO-2023905,,P-101,PLANT-A/AREA-1/PUMP-1,PM,closed,high,preventive,Complete scheduled PM on Pump asset 01,Preventive maintenance completed on P-101 with no immediate defect recorded.,2025-12-29T11:00:00+00:00,2026-01-03T11:00:00+00:00,2025-12-29T17:00:00+00:00,2025-12-29T17:30:00+00:00,280.00,0.00
WO-2023906,N-910906,V-118,PLANT-A/AREA-3/VALVE-4,CM,closed,medium,corrective,Actuator failure on Valve asset 18,Actuator failure identified on V-118 during operation. Corrective work completed and asset returned to service.,2025-12-30T23:00:00+00:00,2025-12-31T23:00:00+00:00,2025-12-31T06:00:00+00:00,2025-12-31T18:00:00+00:00,2090.00,12.00
WO-2023907,,HX-135,PLANT-A/AREA-5/HEAT-EXCHANGER-7,INSP,closed,high,inspection,Inspect condition of Heat exchanger asset 35,Inspection completed on HX-135; observations recorded for reliability trending.,2023-01-01T23:00:00+00:00,2023-01-03T23:00:00+00:00,2023-01-02T07:00:00+00:00,2023-01-02T07:30:00+00:00,180.00,0.00
WO-2023908,N-910908,M-102,PLANT-A/AREA-2/MOTOR-1,EM,closed,high,emergency,Overheating on Motor asset 02,Overheating identified on M-102 during operation. Corrective work completed and asset returned to service.,2023-01-03T11:00:00+00:00,2023-01-06T11:00:00+00:00,2023-01-03T20:00:00+00:00,2023-01-04T04:00:00+00:00,4120.00,8.00
